ELECTORAL_DISTRICT_NUMBER,PROVINCE,ELECTORAL_DISTRICT_NAME,URBAN_SEMIURBAN_RURAL,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES_OBTAINED,PERCENTAGE_OF_VOTES_OBTAINED,MAJORITY,MAJORITY_PERCENTAGE,POPULATION,ELECTORS,PERCENTAGE_OF_VOTER_TURNOUT,ELECTED_CANDIDATE,ELECTED_CANDIDATE_PARTY,PROV_CODE
10001,Newfoundland and Labrador,Avalon,Semi-urban,Ken McDonald,Liberal,18608,50.1,5870.0,15.8,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Matthew Chapman,Conservative,12738,34.3,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Carolyn Davis,NDP-New Democratic Party,5151,13.9,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Lainie Stewart,People's Party - PPC,647,1.7,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Churence Rogers,Liberal,13972,46.6,1694.0,5.6,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Sharon Vokey,Conservative,12278,40.9,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Anne Marie Anonsen,NDP-New Democratic Party,2484,8.3,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Linda Hogan,People's Party - PPC,1257,4.2,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Clifford Small,Conservative,14927,46.9,281.0,0.9,77680,63631,51.1,"Small, Clifford",Conservative,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Scott Simms,Liberal,14646,46.0,,,77680,63631,51.1,"Small, Clifford",Conservative,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Jamie Ruby,NDP-New Democratic Party,2261,7.1,,,77680,63631,51.1,"Small, Clifford",Conservative,NL
10004,Newfoundland and Labrador,Labrador,Rural,Yvonne Jones,Liberal,4119,42.7,1189.0,12.3,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Shane Dumaresque,Conservative,2930,30.4,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Amy Norman,NDP-New Democratic Party,2297,23.8,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Shannon Champion,People's Party - PPC,307,3.2,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Gudie Hutchings,Liberal,16178,44.4,1834.0,5.0,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Carol Anstey,Conservative,14344,39.4,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Kaila Mintz,NDP-New Democratic Party,4347,11.9,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Darrell Shelley,People's Party - PPC,1578,4.3,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Joanne Thompson,Liberal,17239,45.2,4149.0,10.9,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Mary Shortall,NDP-New Democratic Party,13090,34.3,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Glenn Etchegary,Conservative,7119,18.7,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Dana Metcalfe,People's Party - PPC,723,1.9,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Seamus O'Regan,Liberal,19478,56.2,11365.0,32.8,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Ray Critch,NDP-New Democratic Party,8113,23.4,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Steve Hodder,Conservative,6447,18.6,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Georgia Faith Stewart,People's Party - PPC,638,1.8,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
11001,Prince Edward Island,Cardigan,Semi-urban,Lawrence MacAulay,Liberal,11175,50.6,4358.0,19.7,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Wayne Phelan,Conservative,6817,30.9,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Lynne Thiele,NDP-New Democratic Party,2168,9.8,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Michael MacLean,Green Party,1064,4.8,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Kevin Hardy,People's Party - PPC,725,3.3,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Fred MacLeod,Christian Heritage Party,145,0.7,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Sean Casey,Liberal,8919,46.7,2987.0,15.6,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Doug Currie,Conservative,5932,31.1,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Margaret Andrade,NDP-New Democratic Party,2048,10.7,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Darcie Lanthier,Green Party,1832,9.6,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Scott McPhee,People's Party - PPC,369,1.9,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Bobby Morrissey,Liberal,9040,46.2,2952.0,15.1,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Barry Balsom,Conservative,6088,31.1,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Alex Clark,Green Party,1771,9.1,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Lisa Bradshaw,NDP-New Democratic Party,1688,8.6,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Wayne Biggar,People's Party - PPC,974,5.0,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Heath MacDonald,Liberal,9912,41.8,2076.0,8.8,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Jody Sanderson,Conservative,7836,33.1,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Anna Keenan,Green Party,3381,14.3,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Michelle Neill,NDP-New Democratic Party,1898,8.0,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Christopher Landry,People's Party - PPC,680,2.9,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
12001,Nova Scotia,Cape Breton--Canso,Rural,Mike Kelloway,Liberal,18288,46.5,4483.0,11.4,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Fiona MacLeod,Conservative,13805,35.1,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Jana Reddick,NDP-New Democratic Party,5618,14.3,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Brad Grandy,People's Party - PPC,1649,4.2,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Sean Fraser,Liberal,18682,46.2,5622.0,13.9,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Steven Cotter,Conservative,13060,32.3,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Betsy MacDonald,NDP-New Democratic Party,6225,15.4,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Al Muir,People's Party - PPC,1445,3.6,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
